# XviD 2pass stat file (core version 1.3.5)
# Please do not modify this file

p 2 0 1197 153 1335 1325
b 4 0 1350 0 314 314
b 4 0 1350 0 298 298
p 2 0 1084 266 1197 1183
b 4 0 1350 0 323 323
b 4 0 1350 0 313 313
p 2 0 1113 237 1174 1166
b 4 0 1350 0 200 200
b 4 0 1350 0 196 196
p 2 0 994 356 1019 1012
b 4 0 1350 0 210 210
b 4 0 1350 0 206 206
p 2 0 987 363 999 991
b 4 0 1350 0 149 149
b 4 0 1350 0 147 147
p 2 0 855 495 875 869
b 4 0 1350 0 134 134
b 4 0 1350 0 134 134
p 2 0 780 570 804 800
b 4 0 1350 0 93 93
b 4 0 1350 0 93 93
p 2 0 596 754 671 668
b 4 0 1350 0 86 86
b 4 0 1350 0 86 86
p 2 0 547 803 619 617
b 4 0 1350 0 62 62
b 4 0 1350 0 62 62
p 2 0 411 939 532 528
b 4 0 1350 0 51 51
b 4 0 1350 0 51 51
p 2 0 318 1032 456 455
b 4 0 1350 0 76 76
b 4 0 1350 0 76 76
p 2 0 297 1053 536 456
b 4 0 1350 0 1124 995
b 4 0 1350 0 529 470
p 2 155 647 548 14771 1751
b 4 0 1350 0 769 727
p 2 221 929 200 30152 2614
b 4 0 1350 0 1010 926
p 2 187 1104 59 45178 2903
p 2 67 1225 58 36583 2423
p 2 77 1212 61 39212 2229
b 4 0 1350 0 1594 723
p 2 186 1113 51 68969 2882
b 4 0 1350 0 1112 594
p 2 167 1135 48 69706 2703
b 4 0 1350 0 1840 753
p 2 189 1116 45 79635 2833
b 4 0 1350 0 7537 1238
p 2 196 1128 26 81709 2760
b 4 0 1350 0 15047 1732
p 2 142 1199 9 95130 2696
b 4 0 1350 0 15700 1604
b 4 0 1350 0 19307 2418
p 2 122 1228 0 88361 2494
b 4 0 1350 0 13053 1560
b 4 0 1350 0 14555 2418
p 2 50 1300 0 87078 2392
b 4 0 1350 0 15190 1641
b 4 0 1350 0 8093 1822
p 2 20 1330 0 69252 2098
b 4 0 1350 0 7426 1602
b 4 0 1350 0 8039 1629
p 2 10 1340 0 68015 2090
b 4 0 1350 0 9744 1696
b 4 0 1350 0 15571 2269
p 2 1 1349 0 88291 2108
b 4 0 1350 0 6319 1326
b 4 0 1350 0 6893 1932
p 2 0 1350 0 78139 2070
b 4 0 1350 0 13437 2028
b 4 0 1350 0 7554 1505
p 2 0 1350 0 66242 1983
b 4 0 1350 0 12568 1620
b 4 0 1350 0 9668 1770
p 2 0 1348 2 65841 1924
b 4 0 1350 0 2166 829
b 4 0 1350 0 9142 1720
p 2 0 1350 0 52733 1902
b 4 0 1350 0 15750 1989
b 4 0 1350 0 9882 1787
p 2 0 1350 0 70065 1917
b 4 0 1350 0 8988 1671
b 4 0 1350 0 8004 1598
p 2 1 1346 3 58885 1833
b 4 0 1350 0 4734 1321
b 4 0 1350 0 5735 1538
p 2 0 1349 1 42282 1826
b 4 0 1350 0 14802 1873
b 4 0 1350 0 4231 1152
p 2 0 1348 2 45793 1841
b 4 0 1350 0 4110 1073
b 4 0 1350 0 11423 1853
p 2 0 1350 0 68857 1883
b 4 0 1350 0 15076 1757
b 4 0 1350 0 9795 1567
p 2 0 1345 5 69995 1869
b 4 0 1350 0 7767 1656
b 4 0 1350 0 9488 1655
p 2 0 1350 0 60030 1846
b 4 0 1350 0 21658 2055
b 4 0 1350 0 15244 1868
p 2 0 1347 3 56503 1892
b 4 0 1350 0 4745 1365
b 4 0 1350 0 9123 1801
p 2 0 1349 1 54307 1763
b 4 0 1350 0 7524 1449
b 4 0 1350 0 3463 1513
p 2 0 1349 1 66464 1879
b 4 0 1350 0 6566 2014
b 4 0 1350 0 8423 1480
p 2 0 1349 1 76442 2011
b 4 0 1350 0 11529 1736
b 4 0 1350 0 8011 1845
p 2 0 1350 0 70695 1900
b 4 0 1350 0 11011 1736
b 4 0 1350 0 6399 1477
p 2 0 1347 3 59076 1800
b 4 0 1350 0 4440 1165
b 4 0 1350 0 7964 1941
p 2 0 1348 2 79375 1943
b 4 0 1350 0 10457 2144
b 4 0 1350 0 12677 2073
p 2 1 1349 0 66374 1906
b 4 0 1350 0 20335 2419
b 4 0 1350 0 18068 2261
p 2 0 1350 0 71050 1955
b 4 0 1350 0 21222 2004
b 4 0 1350 0 15547 2351
p 2 0 1349 1 69379 1847
b 4 0 1350 0 8771 2025
b 4 0 1350 0 5578 1276
p 2 0 1348 2 79682 1977
b 4 0 1350 0 8701 1388
b 4 0 1350 0 6991 1267
p 2 0 1350 0 74945 1935
b 4 0 1350 0 7294 1375
b 4 0 1350 0 6679 1502
p 2 0 1348 2 50541 1825
b 4 0 1350 0 10102 1515
b 4 0 1350 0 8657 1986
